"ident","type_aeroport","name","municipality","latitude_deg","longitude_deg","elevation_ft","Piste","Longueur_de_piste","Type_de_piste","Observations","wikipedia_link","fret"
"KPSK","small_airport","New River Valley Airport","Dublin","37.137299","-80.678497","2105","45444","6201","ASP/","","","4524"
"KPSM","medium_airport","Portsmouth International at Pease Airport","Portsmouth","43.077900","-70.823303","100","16-34","11321","PEM/","","http://en.wikipedia.org/wiki/Pease_International_Airport","13905"
"KPSN","small_airport","Palestine Municipal Airport","Palestine","31.779699","-95.706299","423","9-27 18-36","4003/5005","ASP/ASP","","","4600"
"KPSO","small_airport","Stevens Field","Pagosa Springs","37.286301","-107.056000","7664","43466","8098","ASP/","","http://en.wikipedia.org/wiki/Stevens_Field","4735"
"KPSP","medium_airport","Palm Springs International Airport","Palm Springs","33.829700","-116.507004","477","13L-31R 13R-31L","4952/10000","ASP/ASP","","http://en.wikipedia.org/wiki/Palm_Springs_International_Airport","13994"
"KPSX","small_airport","Palacios Municipal Airport","Palacios","28.727501","-96.250999","14","8-26 13-31 17-35","5001/5001/5001","CON/CON/CON","","","4932"
"KPTB","small_airport","Dinwiddie County Airport","Petersburg","37.183800","-77.507401","193","5-23 14-32","5001/3061","ASP/ASP","","","4580"
"KPTD","small_airport","Potsdam Municipal-Damon field","Potsdam","44.676701","-74.948402","474","45444","3705","ASP/","","","4494"
"KPTG","closed","Lee County Airport","Pennington Gap","36.746101","-83.037201","1860","","","","","","4510"
"KPTK","medium_airport","Oakland County International Airport","Pontiac","42.665501","-83.420097","980","4-22 09L-27R 09R-27L 18-36","2451/5000/6200/1850","ASP/ASP/ASP/ASP","","http://en.wikipedia.org/wiki/Oakland_County_International_Airport","13475"
"KPTN","small_airport","Harry P Williams Memorial Airport","Patterson","29.709499","-91.338997","9","04W-22W 6-24","4500/5399","WATER/ASP","","","4473"
"KPTS","small_airport","Atkinson Municipal Airport","Pittsburg","37.449501","-94.731102","950","4-22 10-28 16-34","4001/3008/5500","ASPH-G/ASP/ASP","","","4618"
"KPTT","small_airport","Pratt Industrial Airport","Pratt","37.701599","-98.746902","1953","17-35","5500","ASP/","","","4919"
"KPTV","small_airport","Porterville Municipal Airport","Porterville","36.029598","-119.063004","442","11293","5908","ASP/","","","4714"
"KPTW","small_airport","Pottstown Limerick Airport","Pottstown","40.239601","-75.556702","309","47027","3371","ASP/","","http://en.wikipedia.org/wiki/Pottstown_Limerick_Airport","4503"
"KPUB","small_airport","Pueblo Memorial Airport","Pueblo","38.289101","-104.497002","4726","08L-26R 08R-26L 12-30 17-35","10496/4073/8268/8300","ASP/ASP/ASP/ASP","","http://en.wikipedia.org/wiki/Pueblo_Memorial_Airport","4520"
"KPUC","small_airport","Carbon County Regional/Buck Davis Field","Price","39.613899","-110.751000","5957","7-25 14-32 18-36","3631/4520/8319","ASP/ASP/ASP","","","4996"
"KPUJ","small_airport","Paulding County Regional Airport","Dallas","33.913306","-84.942083","1289","13-31","5505","CONC-G/","","","4853"
"KPUW","medium_airport","Pullman Moscow Regional Airport","Pullman/Moscow","Id","46.743900","-117.110001","2556","45047","7100 Ft","ASP/","","http://en.wikipedia.org/wiki/Pullman-Moscow_Regional_Airport","13719"
"KPVB","small_airport","Platteville Municipal Airport","Platteville","42.689400","-90.444397","1025","7-25 15-33","3600/4000","ASP/ASP","","","4503"
"KPVC","small_airport","Provincetown Municipal Airport","Provincetown","42.071899","-70.221397","9","45839","3500","ASP/","","http://en.wikipedia.org/wiki/Provincetown_Municipal_Airport","4956"
"KPVD","medium_airport","Theodore Francis Green State Airport","Providence","41.732601","-71.420403","55","5-23 16-34","8700/6081","ASP/ASP/","","http://en.wikipedia.org/wiki/T._F._Green_Airport","13602"
"KPVE","small_airport","Beech River Regional Airport","Lexington-Parsons","35.656399","-88.195396","488","43466","6000","CON/","","","4876"
"KPVF","small_airport","Placerville Airport","Placerville","38.724201","-120.752998","2585","45047","4201","ASP/","","","4654"
"KPVG","small_airport","Hampton Roads Executive Airport","Norfolk","36.780201","-76.448799","23","2-20 10-28","3525/5350","ASP/ASP","","","4500"
"KPVJ","small_airport","Pauls Valley Municipal Airport","Pauls Valley","34.711102","-97.223198","971","12-30 17-35","3499/5000","CON/CON","","","4660"
"KPVU","medium_airport","Provo Municipal Airport","Provo","40.219200","-111.723000","4497","13-31 18-36","8599/6614","ASP/ASP/","","","13511"
"KPVW","small_airport","Hale County Airport","Plainview","34.168098","-101.717003","3374","4-22 13-31","5997/4000","ASP/ASP","","","4597"
"KPVZ","closed","Casement Airport","Plainesville","41.733601","-81.219200","699","11293","3794","UNK/","","","4733"
"KPWA","small_airport","Wiley Post Airport","Oklahoma City","35.534199","-97.647102","1300","13-31 17L-35R 17R-35L","4213/7198/5000","CON/CON/ASP","","","4908"
"KPWC","small_airport","Pine River Regional Airport","Pine River","46.724800","-94.381699","1295","16-34","3000","ASP/","","","4540"
"KPWD","small_airport","Sher Wood Airport","Plentywood","48.790298","-104.533997","2250","8-26 12-30 16-34","2950/3900/1600","GRS/ASP/GRS","","","3965"
"KPWG","small_airport","Mc Gregor Executive Airport","Waco","31.484900","-97.316498","592","4-22 17-35","3484/5501","ASP/ASP","","","4973"
"KPWK","medium_airport","Chicago Executive Airport","Chicago/Prospect Heights/Wheeling","42.114222","-87.901494","647","6-24 12-30 16-34","3660/4386/5000","ASP/ASP/ASP","","http://en.wikipedia.org/wiki/Chicago_Executive_Airport","13790"
"KPWM","large_airport","Portland International Jetport Airport","Portland","43.646198","-70.309303","76","11-29 18-36","7200/5001","ASP/ASP","","http://en.wikipedia.org/wiki/Portland_International_Jetport","103590"
"KPWT","medium_airport","Bremerton National Airport","Bremerton","47.490200","-122.764999","444","2-20 16-34","6000/5122","ASP/ASP","","","13503"
"KPXE","small_airport","Perry Houston County Airport","Perry","32.510601","-83.767303","418","18-36","5002","ASP/","","","4721"
"KPYG","small_airport","Pageland Airport","Pageland","34.742100","-80.345200","575","45047","3395","ASP/","","","4264"
"KPYM","small_airport","Plymouth Municipal Airport","Plymouth","41.909000","-70.728798","148","6-24 15-33","4349/3351","ASP/ASP","","","4773"
"KPYN","small_airport","Piedmont Municipal Airport","Piedmont","37.126701","-90.712898","467","44256","3300","ASP/","","","4554"
"KPYP","small_airport","Centre-Piedmont-Cherokee County Regional Airport","Centre","34.089977","-85.610069","596","45839","5500","ASPH/","","","4234"
"KPYX","small_airport","Perryton Ochiltree County Airport","Perryton","36.412899","-100.751999","2918","4-22 17-35","3280/5700","GRS/ASP","","","4818"
"KPZQ","small_airport","Presque Isle County Airport","Rogers City","45.407101","-83.812897","670","46631","4105","ASP/","","","4614"
"KR47","small_airport","Ruhe's Airport","Leipsic","41.103100","-84.051903","801","46631","4455","ASP/","","","4937"
"KR49","small_airport","Ferry County Airport","Republic","48.718201","-118.655998","2522","17-35","3498","ASP/","","","4530"
"KRAC","small_airport","John H Batten Airport","Racine","42.760601","-87.815201","674","4-22 14-32","6556/4423","CON/ASP","","","4406"
