"ident","type_aeroport","name","municipality","latitude_deg","longitude_deg","elevation_ft","Piste","Longueur_de_piste","Type_de_piste","Observations","wikipedia_link","fret"
"AA00","small_airport","Shump Airport","Talkeetna","62.510150","-149.926717","1670","43862","650","TURF/","","","2272"
"AA01","seaplane_base","West Beaver Seaplane Base","Big Lake","61.584961","-149.846531","215","11W-29W","3800","WATER/","","","4692"
"AA02","seaplane_base","Horseshoe Lake Seaplane Base","Big Lake","61.571481","-149.924111","140","01W-19W","5500","WATER/","","","4220"
"AA03","heliport","Central Pad Heliport","Deadhorse","70.171228","-146.258517","10","H1","80","GRVL/","","","4446"
"AA04","heliport","Viking Heliport","Anchorage","61.224775","-149.839094","72","H1","50","ASPH/","","","4983"
"AA05","small_airport","Shelby Strip","Anchorage","61.507811","-149.078481","40","45444","1104","GRVL/","","","4876"
"AA06","small_airport","Sixmile Lake Airport","Anchorage","61.289722","-149.806111","85","45444","1600","GRVL/","","","4429"
"AA07","heliport","Saddleback Island Heliport","Big Lake","61.521575","-149.927139","150","H1","50","TURF/","","","4690"
"AA11","seaplane_base","Misty Lake Seaplane Base","Wasilla","61.550739","-149.676131","350","07W-25W","1950","WATER/","","","4535"
"AA12","seaplane_base","Dove Island Lodge Seaplane Base","Sitka","57.040833","-135.295556","0","15W-33W","2500","Water/","","","4816"
"AA22","small_airport","Delta Daves Airport","Delta Junction","64.132858","-145.804494","1070","15-33","2350","TURF/","","","4870"
"AA27","heliport","Pioneer Heliport","Nuiqsut","70.414100","-150.018592","38","H1","65","ASPH/","","","4696"
"AA30","small_airport","Trio Estates Airport","Houston","61.648189","-149.870831","315","45047","1285","GRVL-G/","","","4370"
"AA33","small_airport","Gus Landing","Houston","61.604150","-149.770119","120","18-36","1700","TURF/","","","4572"
"AA35","heliport","35 Mile Lodge Heliport","Haines","59.437556","-136.229361","690","","","","","","4493"
"AA38","heliport","Nikaitchuq Operations Center Heliport","Kuparuk","70.482481","-149.853233","20","","","","","","4536"
"AA44","heliport","Barlett Regional Hospital Heliport","Juneau","58.328803","-134.460083","296","H1","55","ROOF-TOP/","","","5027"
"AA50","small_airport","Point Thomson Sea Ice Airstrip","Deadhorse","70.181144","-146.350350","0","44652","5000","ICE/","","","4827"
"AA51","heliport","Spy Island Drill-Site Heliport","Kuparuk","70.556250","-149.910528","21","","","","","","4444"
"AA76","small_airport","Timber Trails Airport","North Pole","64.769444","-147.329444","480","15-33","2450","TURF/","","","4808"
"AA85","seaplane_base","Walby Lake Seaplane Base","Palmer","61.616419","-149.221031","114","06W-24W","2500","WATER/","","","4779"
"AAXX","small_airport","Rothera Point Airport","Rothera Point","-67.566941","-68.126993","0","","","","","","4520"
"AF04","small_airport","Helmand Airport","","30.330099","61.896900","0","","","","","","4520"
"AF06","small_airport","Khvej Ghar North Airport","","37.071098","69.495003","1645","","","","","","4435"
"AF07","small_airport","Khvej Ghar South Airport","","37.061199","69.488297","1645","","","","","","4530"
"AF08","small_airport","Kotubkhel Airport","","34.192902","69.135696","6273","","","","","","4648"
"AF09","small_airport","Nayak Airport","","34.687099","66.893204","8650","","","","","","4753"
"AF10","small_airport","Or?zg?n Airport","Or?zg?n","32.903000","66.630898","6725","","","","","","4876"
"AF11","small_airport","Salerno Landing Zone Airport","","33.363800","69.956100","3780","","","","","http://en.wikipedia.org/wiki/FOB_Salerno","4610"
"AF12","small_airport","Sarhawdza Landing Zone Airport","","33.156101","68.819702","7060","","","","","","4759"
"AF13","small_airport","Sheber Too Landing Zone Airport","","34.778900","67.486702","10490","","","","","","4782"
"AF14","small_airport","Tapa Airport","","32.745098","62.598701","2622","","","","","","4179"
"AF15","heliport","Qara Tepa Heliport","","37.423302","69.430298","1437","","","","","","4093"
"AGAF","small_airport","Afutara Aerodrome","Bila","-9.191389","160.948611","23","45444","1501","Coral grass/","","http://en.wikipedia.org/wiki/Afutara_Airport","4727"
"AGAR","small_airport","Ulawa Airport","Arona","-9.860544","161.979547","40","47423","2822","Coral/","","http://en.wikipedia.org/wiki/Ulawa_Airport","4636"
"AGAT","small_airport","Uru Harbour Airport","Atoifi","-8.873330","161.011002","0","13-31","2769","Crushed coral/","","","4562"
"AGBA","small_airport","Barakoma Airport","Barakoma","-7.912780","156.705994","0","","","","","","4269"
"AGEV","SMALL_AIRPORT","GEVA AIRPORT","LIANGIA","-7.575830","156.597000","70","15-33","2297","Gravel dirt/","VFR /","","4476"
"AGGA","SMALL_AIRPORT","AUKI AIRPORT","AUKI","-8.702570","160.682007","5","18-36","3100","UNK/","IFR /","http://en.wikipedia.org/wiki/Auki_Airport","5239"
"AGGB","small_airport","Bellona/Anua Airport","Anua","-11.302222","159.798333","60","47423","2187","Coral sand/","","http://en.wikipedia.org/wiki/Bellona/Anua_Airport","4609"
"AGGC","SMALL_AIRPORT","CHOISEUL BAY AIRPORT","CHOISEUL BAY","-6.711944","156.396111","5","13-31","2164","Sand grass/","IFR / 100 LL","http://en.wikipedia.org/wiki/Choiseul_Bay_Airport","4769"
"AGGE","small_airport","Ballalae Airport","Ballalae","-6.990745","155.886656","5","45047","5413","UNK/","","http://en.wikipedia.org/wiki/Balalae_Airport","4437"
"AGGF","SMALL_AIRPORT","FERA/MARINGE AIRPORT","FERA ISLAND","-8.107500","159.576996","5","18-36","1854","Grass/","IFR","https://r.search.yahoo.com/_ylt=Awr.nwrGe7plWskJ5Dgk24lQ","763"
"AGGH","MEDIUM_AIRPORT","HONIARA INTERNATIONAL AIRPORT","HONIARA","-9.428000","160.054993","28","45444","7218","ASP/","IFR / 100LL / JET A1","http://en.wikipedia.org/wiki/Honiara_International_Airport","3660"
"AGGI","small_airport","Babanakira Airport","Mbambanakira","-9.747500","159.839005","0","17-35","1953","Grass/","","","4814"
"AGGJ","small_airport","Avu Avu Airport","","-9.868333","160.410556","25","14-32","2461","Grass/","","","4753"
"AGGK","SMALL_AIRPORT","NGORANGORA AIRPORT","KIRAKIRA","-10.449700","161.897995","20","47027","4377","UNK/","","http://en.wikipedia.org/wiki/Kirakira_Airport","4570"
"AGGL","small_airport","Santa Cruz/Graciosa Bay/Luova Airport","Santa Cruz/Graciosa Bay/Luova","-10.720300","165.794998","18","45047","2999","Coral/","","","5168"
"AGGM","MEDIUM_AIRPORT","MUNDA AIRPORT","MUNDA","-8.327970","157.263001","10","45839","4593","ASP/","IFR / 100 LL","http://en.wikipedia.org/wiki/Munda_Airport","13680"
"AGGN","SMALL_AIRPORT","NUSATUPE AIRPORT","GIZO","-8.097780","156.863998","13","14-32","2871","UNK/","IFR /","http://en.wikipedia.org/wiki/Nusatupe_Airport","6260"
"AGGO","small_airport","Mono Airport","Stirling Island","-7.416940","155.565002","0","44652","3281","UNK/","","http://en.wikipedia.org/wiki/Mono_Airport","4657"
"AGGP","SMALL_AIRPORT","PARASI AIRPORT","PARASI","-9.641670","161.425003","80","11293","2156","Coral/","VFR /","","4844"
"AGGQ","closed","Ontong Java Atoll Airstrip","Ontong Java Atoll","-5.515000","159.527778","10","46631","2644","Coral/","","","4810"
"AGGR","small_airport","Rennell/Tingoa Airport","Rennell Island","-11.533900","160.063004","0","11293","2206","Coral/","","","4564"
"AGGS","small_airport","Sege Airport","Sege","-8.578890","157.876007","0","47027","3002","UNK/","","","4622"
"AGGT","SMALL_AIRPORT","SANTA ANA AIRPORT","SANTA ANA ISLAND","-10.847994","162.454108","3","47423","2655","Coral/","VFR /","http://en.wikipedia.org/wiki/Santa_Ana_Airport_(Solomon_Islands)","4358"
"AGGU","SMALL_AIRPORT","MARAU AIRPORT","MARAU","-9.861670","160.824997","10","45047","2001","Coral/","VFR /","http://en.wikipedia.org/wiki/Marau_Airport","4508"
"AGGV","SMALL_AIRPORT","SUAVANAO AIRPORT","SUAVANAO","-7.585560","158.731003","20","44652","2789","Sand grass/","VFR /","","4107"
"AGGY","SMALL_AIRPORT","YANDINA AIRPORT","YANDINA","-9.092816","159.218410","60","","","","IFR /","http://en.wikipedia.org/wiki/Yandina_Airport","2903"
"AGKG","small_airport","Kaghau Airport","Kagau Island","-7.330500","157.585000","30","14-32","2428","Sand grass/","","http://en.wikipedia.org/wiki/Kaghau_Airport","4584"
"AGKU","small_airport","Kukudu Airport","Kolombangara Island","-8.026200","156.947830","32","13-31","1821","Graded earth/","","","4204"
"AGKW","small_airport","Kwailabesi Airport","Kwailabesi","-8.360508","160.775127","52","46235","1896","Limestone Grass","","","4617"
"AGNA","small_airport","Nana Airport","Star Harbor","-10.675800","162.204900","60","11293","2657","Soil and Grass/","","","4508"
"AGRC","small_airport","Ringi Cove Airport","Ringi Cove","-8.126390","157.143005","0","43466","2461","Coral grass/","","","4692"
"AGRM","SMALL_AIRPORT","RAMATA AIRPORT","RAMATA","-8.168060","157.643005","46","14-32","2500","/","VFR / PAS NAVIGRAPH","http://en.wikipedia.org/wiki/Ramata_Airport","4760"
"AGTI","heliport","Tulaghi Heliport","Tulaghi Island","-9.108000","160.149167","3","","","","","","5053"
"AK00","small_airport","Anchor River Airpark","Anchor Point","59.796700","-151.863007","120","16-34","2500","GRVL/","","","4600"
"AK01","small_airport","Alaska Airpark","Sterling","60.528983","-150.625133","320","45444","1750","GRVL/","","","4109"
"AK02","small_airport","Bear Creek 1 Airport","Bear Creek","65.539902","-161.061997","575","47027","1400","GRAVEL/","","","4381"
"AK04","small_airport","Skelton Airport","Eureka","61.937000","-147.169006","3289","","","","","","4968"
"AK05","small_airport","Breeden Airport","Sterling","60.541050","-150.599217","365","17-35","800","GRVL/","","","4652"
"AK06","small_airport","Denali Airport","Mckinley Park","63.645100","-148.798004","2050","11293","4000","GRAVEL/","","","4372"
"AK07","small_airport","Dog Fish Bay Airport","Nanwalek","59.241001","-151.876999","10","4-22 14-32","1900/1800/","GRVL/GRVL/","","","4836"
"AK08","small_airport","Thomas Strip","Willow","61.789902","-150.106003","190","15-33","1650","GRVL/","","","4474"
"AK09","small_airport","Wingsong Estates Airport","Delta Junction","64.049599","-145.501999","1100","15-33","2380","TURF/","","","4797"
"AK10","small_airport","Ernies Airstrip","Willow","61.717201","-150.108994","210","15-33","1875","GRVL/","","","4807"
"AK11","small_airport","Point Mcintyre Airport","Point Mcintyre","70.401703","-148.682007","15","44652","1540","GRAVEL-P/","","","4852"
"AK12","small_airport","Flying Crown Airport","Anchorage","61.106602","-149.863998","47","13-31","1078","TURF-P/","","","4819"
"AK13","small_airport","Chena Hot Springs Airport","Chena Hot Springs","65.051804","-146.046997","1195","46235","3000","GRVL/","","","4752"
"AK14","small_airport","Turinsky Airstrip","Point Mackenzie","61.351299","-150.089005","100","46631","2000","GRVL/","","","4774"
"AK16","small_airport","Sunset Strip","Wasilla","61.523399","-149.714996","303","E-W","1600","GRVL/","","","4818"
"AK17","small_airport","Glacierview Strip","Homer","59.763599","-151.223007","1600","43466","1555","TURF/","","","4735"
"AK18","small_airport","Camp Point Airport","Homer","59.828499","-153.080994","8","11293","1100","GRVL/","","","4496"
"AK19","small_airport","Carl's Landing Airport","Talkeetna","62.173901","-150.063995","300","16-34","2500","TURF/","","","4774"
"AK20","small_airport","CD-3 Airstrip","Nuiqsut","70.420622","-150.886667","7","44652","3500","GRVL/","","","4709"
"AK21","small_airport","Nushagak Airport","Dillingham","59.132599","-157.776993","40","16-34","1000","TURF/","","","4974"
"AK22","small_airport","Lakloey Air Park","Fairbanks","64.821701","-147.522003","475","6-24 06W-24W","4000/3400/","GRVL/WATER/","","","4423"
"AK24","small_airport","Hilltop Airport","Chugiak","61.418201","-149.438995","420","44256","1400","TURF/","","","5068"
"AK25","small_airport","Piper Landing Airport","Wasilla","61.617500","-149.615006","350","45444","1200","TURF/","","","4419"
"AK26","small_airport","Solomon State Field","Solomon","64.560600","-164.442001","25","43466","1150","DIRT-GRVL-P/","","","4424"
"AK27","small_airport","Valley Flying Crown Airport","Wasilla","61.642601","-149.623993","400","45444","1800","GRVL/","","","4894"
"AK28","small_airport","Chena Marina Airport","Fairbanks","64.814003","-147.919006","427","18-36 18W-36W","4700/4000/","GRVL-G/WATER/","","","4663"
"AK29","small_airport","Reids Landing Airport","Houston","61.612598","-149.852005","246","E-W","1600","DIRT/","","","4575"
"AK30","small_airport","Strawberry Point Airport","Cordova","60.391153","-146.097464","50","46631","1600","TURF/","","","4761"
"AK31","small_airport","Swift Creek Airport","Mccarthy","61.411201","-143.001007","1225","16-34","2000","TURF/","","","4663"
"AK32","heliport","Oooguruk Island Heliport","Nuiqsut","70.495422","-150.253467","27","H1-","50","GRVL/","","","4641"
"AK33","small_airport","Herendeen Bay Airport","Herendeen Bay","55.801399","-160.899002","20","7-25 12-30","970/1090","GRVL-TURF-P/GRVL-TURF-F/","","","4519"
"AK34","seaplane_base","Kashwitna Lake Seaplane Base","Willow","61.835300","-150.080002","186","NW-SE","4000","WATER/","","","5121"
"AK35","heliport","Buffalo Row Heliport","Delta Junction","64.038902","-145.738998","1180","H1-","300","GRVL/","","","4094"
"AK36","small_airport","Point Mac Airport","Point Mackenzie","61.436001","-150.121994","300","43466","3000","GRVL/","","","4934"
"AK37","heliport","Point Mackenzie Heliport","Point Mackenzie","61.249500","-150.035996","72","H1-","30","TURF/","","","4702"
"AK38","heliport","Providence Hospital Heliport","Anchorage","61.188999","-149.822006","140","H1-","130","ASPH-G/","","","4773"
"AK39","small_airport","South Gasline Airport","Sterling","60.697201","-150.179993","381","43862","2500","GRVL/","","","4733"
"AK40","small_airport","Nixon Fork Mine Airport","McGrath","63.229198","-154.759995","1510","16-34","4200","GRVL-G/","","","4674"
"AK41","small_airport","Greg'n Sage Airport","North Pole","64.543900","-146.843994","925","45839","1800","TURF/","","","4591"
"AK42","heliport","Valley Hospital - Palmer Heliport","Palmer","61.600899","-149.106003","248","H1-","52","ASPH-G/","","","4634"
"AK43","seaplane_base","Jacobsen Lake Seaplane Base","Wasilla","61.579102","-149.539002","350","08W-26W","4000","WATER/","","","5036"
"AK44","small_airport","Talkeetna Village Strip","Talkeetna","62.318901","-150.115997","346","16-34","1600","GRAVEL/","","","9360"
"AK45","small_airport","Lost River 2 Airport","Lost River","65.456200","-167.175003","220","17-35","3120","GRAVEL-P/","","","4961"
"AK46","small_airport","Abi Airport","Palmer","61.628799","-149.042999","750","45839","1000","GRVL/","","","4397"
"AK47","small_airport","Shawn Field","Wasilla","61.585701","-149.563004","300","45047","1100","TURF/","","","4321"
"AK48","heliport","Valley Hospital. Wasilla Heliport","Wasilla","61.585201","-149.425003","340","H1-","104","TURF/","","","4564"
"AK49","small_airport","Taylor Airport","Taylor","65.679298","-164.798996","440","16-34","2200","GRAVEL/","","","4443"
"AK50","small_airport","Sky Ranch At Pioneer Peak Airport","Palmer","61.554600","-149.143997","120","45444","2000","ASPH/","","","5073"
"AK51","small_airport","Wilder/Natwick LLC Airport","Port Alsworth","60.198601","-154.324997","288","45047","4200","GRVL/","","","4675"
"AK52","small_airport","Moen's Ranch Airport","Fairbanks","64.888901","-147.535996","582","46631","1320","TURF/","","","4653"
"AK53","small_airport","Downwind Landing Airport","Palmer","61.582298","-148.996994","220","16-34","1800","TURF-F/","","","4779"
"AK54","small_airport","Stro's Airport","Wasilla","61.657101","-149.326004","340","15-33","900","GRVL/","","","4795"
"AK55","small_airport","Moose Run Airstrip","Soldotna","60.489201","-150.802002","290","46235","2000","DIRT/","","","4657"
"AK56","seaplane_base","Tikchik Lodge Seaplane Base","Tikchik","59.963200","-158.477005","304","NE-SW","2000","WATER/","","","5041"
"AK57","seaplane_base","Long Lake Seaplane Base","Willow","61.725700","-150.091003","180","15W-33W","5000","WATER/","","","4865"
"AK58","small_airport","Fairview West Airport","Wasilla","61.540001","-149.548996","73","45047","2800","GRVL/","","","4548"
"AK59","small_airport","King Ranch Airport","Sutton","61.795601","-148.354996","1350","45444","1800","TURF/","","","4884"
"AK60","small_airport","Fort Jensen Airport","Jensens","57.885101","-157.097000","240","45444","4700","GRAVEL/","","","4361"
"AK61","small_airport","Stephan Lake Lodge Airport","Talkeetna","62.699600","-148.906998","1900","18-36","750","TURF/","","","4696"
"AK62","seaplane_base","Naukati Bay Seaplane Base","Tuxekan Island","55.849602","-133.227997","0","N-S NE-SW","10000/10000/","WATER/WATER/","","http://en.wikipedia.org/wiki/Naukati_Bay_Seaplane_Base","4431"
"AK63","small_airport","Pat-Mar Strip","Palmer","61.588600","-149.143005","246","NE-SW","1800","TURF/","","","4796"
"AK64","small_airport","Taylor Mountain Airport","Taylor Mountain Mine","60.867802","-157.391998","1000","14-32","1950","GRVL-DIRT-P/","","","4579"
"AK65","small_airport","Green's Strip","Wasilla","61.597900","-149.350998","300","45047","1300","TURF/","","","5060"
"AK66","small_airport","Hunter Creek Airport","Palmer","61.463100","-148.804001","100","46631","1150","GRVL/","","","4582"
"AK67","small_airport","Skid Marks Airport","Willow","61.738602","-150.072998","64","18-36","1400","DIRT/","","","4958"
"AK68","small_airport","Minuteman Strip","Willow","61.720299","-150.054001","290","15-33","1200","GRVL/","","","4671"
"AK69","small_airport","Long Lake Airport","Willow","61.729301","-150.098007","200","15-33","1800","GRVL/","","","4795"
"AK71","small_airport","Lonely Air Station","Lonely","70.910698","-153.242004","17","45839","5000","GRAVEL/","","http://en.wikipedia.org/wiki/Lonely_Air_Station","4821"
"AK72","small_airport","Jewell Airport","Willow","61.704700","-150.600998","113","14-32","1950","TURF/","","","4640"
"AK73","small_airport","McGahan Industrial Airpark","Nikishka","60.725300","-151.302002","150","18-36","1500","GRVL/","","","4462"
"AK74","heliport","Kodiak Emergency/Spruce Cape Heliport","Kodiak","57.807899","-152.354004","41","H1-","62","ASPH-CONC/","","","4422"
"AK75","small_airport","Candle 2 Airport","Candle","65.907700","-161.925995","15","43862","3880","GRVL-F/","","","3964"
"AK76","small_airport","East Alsek River Airport","Yakutat","59.126099","-138.406998","20","43862","1500","TURF-F/","","","4979"
"AK77","small_airport","All West Airport","Delta Junction","63.941399","-145.421997","1275","46631","5500","TURF-GRVL/","","","5448"
"AK79","small_airport","Jolly Field","Wasilla","61.593550","-149.566500","100","46631","1300","TURF/","","","4902"
"AK80","small_airport","American Creek Airport","American Creek","65.104600","-151.176000","520","43862","1800","GRVL-TURF/","","","4759"
"AK81","seaplane_base","Amook Bay Seaplane Base","Amook Bay","57.471500","-153.815002","0","N-S","8000","WATER/","","http://en.wikipedia.org/wiki/Amook_Bay_Seaplane_Base","4307"
"AK82","heliport","Campbell BLM Heliport","Anchorage","61.156101","-149.792007","235","H1-","100","TRTD/","","","4309"
"AK83","small_airport","Gannon's Landing Airport","Wasilla","61.627300","-149.608994","380","18-36","2100","TURF/","","","4775"
"AK84","small_airport","Scooter's Landing Strip","Sterling","60.529400","-150.830994","259","46235","2400","GRVL/","","","4633"
"AK85","small_airport","Birchwater Airport","Wasilla","61.482333","-149.763986","110","45839","800","TURF/","","","4645"
"AK86","small_airport","Kramer Airport","Big Lake","61.573539","-149.911350","150","44652","850","TURF-GRVL/","","","4584"
"AK87","heliport","Team Levine Heliport","Big Lake","61.514900","-149.929001","150","H1-","50","CONC/","","","4125"
"AK88","small_airport","Eagle Nest Airport","Palmer","61.604698","-149.039993","416","15-33","1300","TURF/","","","4750"
"AK89","small_airport","Black Spruce Airport","Houston","61.657002","-149.837006","350","45444","1000","TURF/","","","4461"
"AK90","small_airport","Shirley Lake Airport","Willow","61.744701","-150.115006","185","16-34","1800","TURF/","","","4587"
"AK91","heliport","Elmendorf Hospital Heliport","Anchorage","61.239700","-149.748993","228","H1-","50","ASPH/","","","4889"
"AK92","small_airport","Martin Airport","Palmer","61.638000","-149.029007","820","17-35","600","DIRT/","","","4214"
"AK93","small_airport","Grouse Ridge Airport","Palmer","61.655201","-149.272995","535","43862","1600","GRVL/","","","4945"
"AK94","heliport","Alascom/Coastal Lena Point Heliport","Juneau","58.390800","-134.776993","150","H1-","100","GRVL/","","","4476"
"AK95","small_airport","Twin Lake Airport","Big Lake","61.569801","-149.779007","185","46631","1000","TURF/","","","4738"
"AK96","small_airport","Bartletts Airport","Egegik","58.216202","-157.352005","50","","","","","","4109"
"AK97","small_airport","Boswell Bay Airport","Boswell Bay","60.423100","-146.145996","230","44652","2612","GRAVEL/","","http://en.wikipedia.org/wiki/Boswell_Bay_Airport","4165"
"AK98","small_airport","Buck Creek Airport","Buck Creek","65.638702","-167.485992","560","17-35","1220","GRAVEL/","","","4642"
"AK99","small_airport","Grand Home Airport","Wasilla","61.446667","-149.761111","85","43862","1200","TURF/","","","5031"
"AL00","small_airport","Charlie Wilkes Airport","Fayette","33.744400","-87.786400","340","43862","1800","TURF/","","","4726"
"AL01","small_airport","Bedsole Farm Airport","Claiborne","31.558500","-87.533302","180","47423","3000","TURF/","","","4620"
"AL02","small_airport","Rainey Field","Cottondale","33.150101","-87.441704","300","46235","2000","TURF/","","","4747"
"AL03","small_airport","Strickland/Smalley Field","Akron","35.853889","-87.723889","369","43466","2002","TURF-G/","","","4393"
"AL04","small_airport","Pleasant View Farm Airport","Elberta","30.462700","-87.525002","105","","","","","","4589"
"AL05","small_airport","Sehoy Airport","Hurtsboro","32.220100","-85.468002","331","44652","5000","ASPH-G/","","","3966"
"AL06","heliport","Drummond Heliport","Jasper","33.515900","-87.256699","470","H1-","25","CONC/","","","5017"
"AL07","heliport","Geo H Lanier Memorial Hosp Heliport","Valley","32.824600","-85.168503","640","H1-","40","ASPH/","","","4354"
"AL08","small_airport","Perdido Winds Airpark","Elberta","30.424400","-87.535301","75","17-35","2400","TURF/","","","4827"
"AL09","small_airport","Cloudmont Airpark","Mentone","34.533401","-85.590202","1692","18-36","2450","TURF/","","","4548"
"AL10","small_airport","Frerichs Airport","Gurley","34.651199","-86.416901","650","46631","2500","TURF/","","","4286"
"AL11","heliport","Baptist Medical Center Heliport","Montgomery","32.327499","-86.276604","252","H1-","45","MATS/","","","4953"
"AL12","small_airport","Kershaw Airport","Montgomery","32.358501","-86.125000","225","46631","4600","ASPH/","","","4365"
"AL13","heliport","MeadWestvaco Heliport","Cottonton","32.172401","-85.028801","95","H1-","50","CONC/","","","4444"
"AL14","heliport","Bryan W. Whitfield Memorial Hospital Heliport","Demopolis","32.505700","-87.836300","156","H1-","50","CONC/","","","4580"
"AL15","small_airport","Styron Airport","Foley","30.403000","-87.724197","120","N-S","2600","TURF/","","","4794"
"AL16","small_airport","Turkey Creek Airport","Pinson","33.726799","-86.723602","640","18-36","2500","TURF/","","","4652"
"AL17","small_airport","Lazy Eight Airpark Llc Airport","Wilsonville","33.234001","-86.513000","450","15-33","3300","TURF/","","","4368"
"AL18","small_airport","Parker Field","Gardendale","33.676201","-86.867500","590","13-31","1550","TURF/","","","4907"
"AL19","heliport","Bessemer Carraway Heliport","Bessemer","33.371550","-86.991000","670","H1-","40","CONC/","","","4824"
"AL20","heliport","Southeast Alabama Medical Center Heliport","Dothan","31.218100","-85.367203","314","H1-","40","CONC/","","","4141"
"AL21","heliport","Lakeside Heliport","Birmingham","33.512100","-86.677498","645","H1-","80","CONC/","","","4950"
"AL22","heliport","Eliza Coffee Memorial Hospital Heliport","Florence","34.793999","-87.683403","581","H1-","50","CONC/","","","4760"
"AL23","heliport","Drummond Coal Company Heliport","Birmingham","33.552300","-86.750801","645","","","","","","4557"
"AL24","heliport","Rotor Wing Inc Heliport","Mount Olive","33.677600","-86.870300","630","H1-","50","CONC/","","","4993"
"AL25","small_airport","Spratling Field","Roba","32.242401","-85.601097","368","46631","1600","TURF/","","","4392"
"AL26","heliport","Bryant Culberson Heliport","Tuscaloosa","33.206001","-87.527802","283","H1-","50","CONC/","","","4832"
"AL27","small_airport","Headquarters Airport","Centre","34.105701","-85.565804","610","18-36","2000","TURF/","","","4695"
"AL28","heliport","Huntsville Hospital Heliport","Huntsville","34.737301","-86.574203","644","H1-","20","ASPH/","","","4573"
"AL29","small_airport","New Horizon Airport","Blountsville","34.129299","-86.633301","750","16-34","2500","TURF/","","","4480"
"AL30","heliport","Mizell Memorial Hospital Heliport","Opp","31.293200","-86.254097","298","","","","","","4745"
"AL31","heliport","Vaughan Hospital Heliport","Selma","32.406799","-87.054199","125","H1-","60","ASP/","","","4866"
"AL32","small_airport","Flying M Ranch Airport","Cedar Bluff","34.322601","-85.643700","670","44652","2600","TURF/","","","4882"
"AL33","small_airport","Sturdy Oak Farm Airport","Perdido","31.025200","-87.585800","230","44256","2100","TURF/","","","4514"
"AL34","small_airport","Henson Field","Moulton","34.446999","-87.386101","685","46631","3500","TURF/","","","4568"
"AL35","small_airport","Mc Ginnis Airport","Loxley","30.619600","-87.704399","125","44256","1450","TURF/","","","4671"
"AL36","heliport","The Huntsville Hospital Heliport","Huntsville","34.720901","-86.580597","728","H1-","30","CONC/","","","4368"
"AL37","small_airport","Benedick Airport","Jack","31.555028","-85.977278","335","46235","1800","TURF-F/","","","4962"
"AL38","heliport","University of Alabama Hospital Heliport","Birmingham","33.505901","-86.802803","787","H1-","60","ALUMINUM/","","","4501"
"AL39","heliport","Shelby Medical Center Heliport","Alabaster","33.252201","-86.812202","510","H1-","50","CONC/","","","4499"
"AL40","small_airport","Bonham Airport","Birmingham","33.543201","-86.985802","600","43466","1500","TURF-GRVL/","","","5039"
"AL41","small_airport","Freedom Field","Slocomb","31.115999","-85.625504","285","47027","3300","TURF/","","","4676"
"AL42","heliport","Rgnl Medical Center Heliport","Anniston","33.656200","-85.824097","844","H1-","50","CONC/","","","4203"
"AL43","small_airport","Henley Ranch Airport","Geiger","32.908501","-88.333397","200","47027","3000","TURF/","","","4392"
"AL44","heliport","Cullman Medical Center Heliport","Cullman","34.172298","-86.843597","789","","","","","","4464"
"AL45","heliport","Trinty Medical Center Heliport","Birmingham","33.517502","-86.749702","966","H1-","19","CONC/","","","4854"
"AL46","seaplane_base","Shoals Creek Seaplane Base","Florence","34.902599","-87.587196","510","02W-20W 08W-26W 17W-35W","6200/6500/11000/","WATER/WATER/WATER/","","","4700"
"AL47","heliport","Lemoyne Heliport","Axis","30.971800","-88.026398","40","H1-","30","CONC/","","","4772"
"AL48","heliport","Southwest Alabama Medical Center Heliport","Thomasville","31.930700","-87.737503","265","H1-","60","CONC/","","","4419"
"AL49","heliport","Carraway Medical Center Heliport","Birmingham","33.535900","-86.811401","672","H1- H2-","70/70","CONC/CONC","","","4795"
"AL50","heliport","Baptist Medical Center-Princeton Heliport","Birmingham","33.497601","-86.846397","557","H1-","20","CONC/","","","4546"
"AL51","small_airport","Flying C's Plantation Airport","Crawford","32.416100","-85.299202","395","11293","2000","TURF/","","","4885"
"AL52","heliport","Usa Medical Center Heliport","Mobile","30.711599","-88.107803","28","H1-","60","CONC/","","","4823"
"AL53","heliport","Humana Hospital Shoals Heliport","Muscle Shoals","34.746201","-87.676399","500","H1-","40","PFC/","","","4957"
"AL54","small_airport","Bird Nest Airport","Winfield","33.863300","-87.845299","420","17-35","2200","TURF/","","","4762"
"AL55","small_airport","Shields Airport","Elberta","30.441900","-87.463898","95","46631","2032","TURF-G/","","","4181"
"AL56","small_airport","Jones Light Aviation Airport","Smiths","32.500099","-85.083298","440","45047","2000","TURF/","","","5078"
"AL58","seaplane_base","Lower Delta Seaplane Base","Spanish Fort","30.675476","-87.959871","0","10W-28W","3200","WATER/","","","4532"
"AL59","heliport","Flowers Hospital Heliport","Dothan","31.237700","-85.456299","305","H1-","60","CONC/","","","4755"
"AL60","small_airport","Dugger's Field","Ashville","33.838699","-86.211403","560","47027","2600","TURF/","","","4672"
"AL61","small_airport","Belforest Airport","Daphne","30.616899","-87.858299","140","46631","1015","GRS/","","","4766"
"AL62","small_airport","Striplin Airfield","Hartford","31.083000","-85.683502","255","18-36","2600","TURF/","","","4960"
"AL63","heliport","Walker Regional Medical Center Heliport","Jasper","33.843399","-87.233902","418","H1-","30","CONC/","","","4460"
